onset_time,stim_type,stim_name,trial_length,stim_size,RGB,corrAns
0,1,targ,0.5,3.6,"[0.7298, 0.5623, 0.6473]",1
0.5,3,nontarg,0.5,1.6,"[0.7298, 0.5623, 0.6473]",None
1,2,bright,4,1.6,"[0.78, 0.61, 0.7]",None
5,3,nontarg,0.5,1.6,"[0.7298, 0.5623, 0.6473]",None
5.5,1,targ,1,3.6,"[0.7298, 0.5623, 0.6473]",1
6.5,3,nontarg,0.5,1.6,"[0.7298, 0.5623, 0.6473]",None
7,3,nontarg,0.5,1.6,"[0.7298, 0.5623, 0.6473]",None
7.5,1,targ,2,3.6,"[0.7298, 0.5623, 0.6473]",1
9.5,3,nontarg,7.5,1.6,"[0.7298, 0.5623, 0.6473]",None
17,3,nontarg,1,1.6,"[0.7298, 0.5623, 0.6473]",None
18,1,targ,2,3.6,"[0.7298, 0.5623, 0.6473]",1
20,3,nontarg,1,1.6,"[0.7298, 0.5623, 0.6473]",None
21,3,nontarg,1.5,1.6,"[0.7298, 0.5623, 0.6473]",None
22.5,1,targ,4,3.6,"[0.7298, 0.5623, 0.6473]",1
26.5,3,nontarg,2.5,1.6,"[0.7298, 0.5623, 0.6473]",None
29,1,targ,1,3.6,"[0.7298, 0.5623, 0.6473]",1
30,2,bright,1,1.6,"[0.78, 0.61, 0.7]",None